Unnamed: 0,Xlig1_aver,B1,B2,TYPE,NH3_ligand,DG,index,DG-class,Unnamed: 8,KMeans_Cluster,DBSCAN_Cluster,Agglo_Cluster,Y=0.5*X+0.5*0.5*(B1+B2),variances,,,,,
PH2Ph-C6F5-NMe2,1.96746988,3.2,2.371111111,0,2,24.1,0,4,,,,,2.376512718,0.122998443,,,,,
none-OMe-PMe2,0,2.518,2.276666667,0,0,-1.2,1,1,,,,,1.198666667,0.113164488,,,,,
PH2F-C6F5-NMe2,1.784009547,3.2,2.371111111,0,2,18.9,2,4,,,,,2.284782551,0.110344364,,,,,
NH2C6F5-CN-Et,2.2,2.795,2.3,0,1,7.9,3,3,,,,,2.37375,0.103174335,,,,,
none-OMe-PMe2,0,2.518,2.276666667,1,0,-1.2,4,1,,,,,1.198666667,0.095092427,,,,,
PH2Ph-Cl-NMe2,1.96746988,3.16,2.371111111,0,2,5.1,5,3,,,,,2.366512718,0.07878144,,,,,
PH2F-Et-Br,1.784009547,2.3,2.96,0,2,24.2,6,4,,,,,2.207004774,0.074774603,,,,,
none-Ph-OMe,0,2.390909091,2.518,0,0,-4.1,7,1,,,,,1.227227273,0.071901374,,,,,
none-OMe-Me,0,2.518,2.2875,1,0,10.4,8,4,,,,,1.201375,0.070923074,,,,,
none-Ph-OMe,0,2.390909091,2.518,1,0,-4.1,9,1,,,,,1.227227273,0.070379889,,,,,
NH2C6F5-Et-tBu,2.2,2.3,2.307692308,0,1,-0.2,10,1,,,,,2.251923077,0.064862687,,,,,
NH2Ph-tBu-NMe2,2.342971888,2.307692308,2.371111111,0,1,0.6,11,2,,,,,2.341186799,0.06154612,,,,,
PH2F-Br-NMe2,1.784009547,2.96,2.371111111,0,2,19.3,12,4,,,,,2.224782551,0.060458049,,,,,
PH2Ph-CF3-NMe2,1.96746988,3.6225,2.371111111,0,2,7.1,13,3,,,,,2.482137718,0.059107696,,,,,
NH2Ph-C6F5-NMe2,2.342971888,3.2,2.371111111,0,1,13.8,14,4,,,,,2.564263722,0.058574866,,,,,
none-Br-PMe2,0,2.96,2.276666667,0,0,-14.8,15,1,,,,,1.309166667,0.058528821,,,,,
none-OMe-Me,0,2.518,2.2875,0,0,-3,16,1,,,,,1.201375,0.056227554,,,,,
NH2Ph-tBu-PMe2,2.342971888,2.307692308,2.276666667,0,1,5.3,17,3,,,,,2.317575688,0.054621732,,,,,
NH2C6F5-H-Et,2.2,2.2,2.3,0,1,20.1,18,4,,,,,2.225,0.053113477,,,,,
PH2F-Et-tBu,1.784009547,2.3,2.307692308,0,2,10.1,19,4,,,,,2.043927851,0.052958723,,,,,
PH2Ph-C6F5-Ph,1.96746988,3.2,2.390909091,0,2,20.1,20,4,,,,,2.381462213,0.04974253,,,,,
NH2Ph-CF3-PMe2,2.342971888,3.6225,2.276666667,0,1,8.3,21,3,,,,,2.646277611,0.047526391,,,,,
PH2Ph-CN-Et,1.96746988,2.795,2.3,0,1,6.3,22,3,,,,,2.25748494,0.045739621,,,,,
CAAC-tBu-PMe2,2.157687651,2.307692308,2.276666667,0,3,27.78,23,4,,,,,2.224933569,0.045069821,,,,,
NH2C6F5-Cl-Et,2.2,3.16,2.3,0,1,12.6,24,4,,,,,2.465,0.041802655,,,,,
PH2F-Et-CF3,1.784009547,2.3,3.6225,0,2,23,25,4,,,,,2.372629774,0.041334065,,,,,
NH2Ph-Me-Et,2.342971888,2.2875,2.3,0,1,-3.2,26,1,,,,,2.318360944,0.040254403,,,,,
none-Ph-PMe2,0,2.390909091,2.276666667,0,0,-10.6,27,1,,,,,1.16689394,0.040099697,,,,,
PH2F-C6F5-tBu,1.784009547,3.2,2.307692308,0,2,31.9,28,4,,,,,2.268927851,0.040068806,,,,,
NH2C6F5-PMe2-Et,2.2,2.276666667,2.3,0,1,16,29,4,,,,,2.244166667,0.03963171,,,,,
PH2F-Et-Cl,1.784009547,2.3,3.16,0,2,23.9,30,4,,,,,2.257004774,0.038784957,,,,,
NH2Ph-tBu-OMe,2.342971888,2.307692308,2.518,0,1,-2.3,31,1,,,,,2.377909021,0.038782835,,,,,
NH2Ph-Et-tBu,2.342971888,2.3,2.307692308,0,1,-2.1,32,1,,,,,2.323409021,0.03869917,,,,,
NH2C6F5-CN-NMe2,2.2,2.795,2.371111111,0,1,-2.5,33,1,,,,,2.391527778,0.03849024,,,,,
NH2Ph-C6F5-CN,2.342971888,3.2,2.795,0,1,19.2,34,4,,,,,2.670235944,0.038176779,,,,,
NH2C6F5-Cl-OMe,2.2,3.16,2.518,0,1,0.1,35,2,,,,,2.5195,0.037991809,,,,,
none-Br-PMe2,0,2.96,2.276666667,1,0,2.5,36,2,,,,,1.309166667,0.037573337,,,,,
NH2C6F5-Cl-NMe2,2.2,3.16,2.371111111,0,1,-6.3,37,1,,,,,2.482777778,0.037355187,,,,,
NH2Ph-Et-PMe2,2.342971888,2.3,2.276666667,0,1,3.1,38,2,,,,,2.315652611,0.036381706,,,,,
NH2C6F5-CN-Me,2.2,2.795,2.2875,0,1,7.8,39,3,,,,,2.370625,0.036334889,,,,,
NH2C6F5-PMe2-NMe2,2.2,2.276666667,2.371111111,0,1,-12.4,40,1,,,,,2.261944445,0.035836659,,,,,
PH2C6F5-Et-tBu,1.864473684,2.3,2.307692308,0,2,12.1,41,4,,,,,2.084159919,0.035768273,,,,,
NH2Ph-CN-Br,2.342971888,2.795,2.96,0,1,11.1,42,4,,,,,2.610235944,0.035331585,,,,,
none-Cl-PMe2,0,3.16,2.276666667,0,0,-6.4,43,1,,,,,1.359166667,0.035328759,,,,,
none-OMe-Et,0,2.518,2.3,1,0,9.2,44,3,,,,,1.2045,0.035258748,,,,,
NH2C6F5-Et-OMe,2.2,2.3,2.518,0,1,-4.1,45,1,,,,,2.3045,0.035220091,,,,,
none-Cl-Cl,0,3.16,3.16,0,0,-4.3,46,1,,,,,1.58,0.035027994,,,,,
none-Ph-PMe2,0,2.390909091,2.276666667,1,0,8.6,47,3,,,,,1.16689394,0.034780773,,,,,
none-OMe-Et,0,2.518,2.3,0,0,-3.2,48,1,,,,,1.2045,0.034425862,,,,,
PH2Ph-CN-NMe2,1.96746988,2.795,2.371111111,0,1,5.9,49,3,,,,,2.275262718,0.034347186,,,,,
PH2Ph-CN-OMe,1.96746988,2.795,2.518,0,1,4.7,50,2,,,,,2.31198494,0.034290815,,,,,
none-Ph-Ph,0,2.390909091,2.390909091,0,0,-13.6,51,1,,,,,1.195454546,0.033989683,,,,,
